City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.11,broken clouds,-23.1203,-134.9692,Pension Maro'i
6,Kulhudhuffushi,MV,83.55,scattered clouds,6.6221,73.07,Haajy Guest House 1
7,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
8,Corinto,GR,75.02,scattered clouds,37.9407,22.9573,Ephira Hotel
12,Kadoshkino,RU,65.3,broken clouds,54.0257,44.4191,Grand Bakal Hotel
13,Mogadishu,SO,78.57,broken clouds,2.0371,45.3438,Hotel Juba
17,Montorio Al Vomano,IT,67.8,overcast clouds,42.5831,13.6383,Hotel Vomano
19,Kapaa,US,74.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Shahrud,IR,82.2,few clouds,36.4182,54.9763,Royal Hotel
24,San Patricio,US,77.72,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
33,Maragogi,BR,80.73,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
35,Vanimo,PG,78.06,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
40,Isangel,VU,70.25,broken clouds,-19.55,169.2667,Tanna Lodge
41,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Saint-Philippe,RE,71.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Valparaiso,CL,68.23,clear sky,-33.0393,-71.6273,Hotel Ultramar
49,Mareeba,AU,65.12,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
53,Pemba,MZ,77.7,few clouds,-12.974,40.5178,Guesthouse Samotina
54,Geraldton,AU,65.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
55,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
56,Butaritari,KI,82.22,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Dingle,PH,78.01,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
63,Tocopilla,CL,70.0,few clouds,-22.092,-70.1979,Hotel Galvarino
64,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
66,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
71,Imbituba,BR,73.29,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
74,Namatanai,PG,79.39,light rain,-3.6667,152.4333,Namatanai Hotel
76,Inhambane,MZ,73.38,clear sky,-23.865,35.3833,Oceano
81,Camabatela,AO,67.39,broken clouds,-8.1881,15.375,Pensão E Restaurantes
82,Kavaratti,IN,83.39,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
87,Pringsewu,ID,74.32,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
88,Laranjeiras Do Sul,BR,76.75,scattered clouds,-25.4078,-52.4161,Hotel Palmeiras
93,Vila,PT,72.73,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
