City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bontang,ID,0.1333,117.5,79.09,88,26,5.77,scattered clouds
1,Lebu,CL,-37.6167,-73.65,53.17,70,100,3.85,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,29.86,93,75,13.8,light snow
3,Ubinskoye,RU,55.3068,79.6802,55.31,61,100,6.31,overcast clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,77.56,82,55,10.0,broken clouds
5,Cidreira,BR,-30.1811,-50.2056,65.84,62,12,14.2,few clouds
6,New Norfolk,AU,-42.7826,147.0587,45.9,75,44,3.0,scattered clouds
7,Akil,MX,20.25,-89.35,93.58,38,35,3.29,scattered clouds
8,Rikitea,PF,-23.1203,-134.9692,77.0,85,72,19.01,broken clouds
9,Ayagoz,KZ,47.9714,80.4392,53.17,59,0,14.58,clear sky
10,Cape Town,ZA,-33.9258,18.4232,62.35,81,50,1.99,scattered clouds
11,Harper,LR,4.375,-7.7169,83.86,74,90,9.93,overcast clouds
12,Marsh Harbour,BS,26.5412,-77.0636,79.47,70,0,13.49,clear sky
13,Cherskiy,RU,68.75,161.3,48.0,52,34,11.65,scattered clouds
14,Pangnirtung,CA,66.1451,-65.7125,33.8,75,75,16.11,broken clouds
15,Ponta Do Sol,PT,32.6667,-17.1,73.13,62,38,4.72,scattered clouds
16,Salekhard,RU,66.53,66.6019,44.58,66,73,11.86,broken clouds
17,Laguna,US,38.421,-121.4238,77.25,58,40,1.99,scattered clouds
18,Avarua,CK,-21.2078,-159.775,71.65,73,20,3.44,few clouds
19,Bethel,US,41.3712,-73.414,49.01,89,90,1.01,moderate rain
20,Esperance,AU,-33.8667,121.9,64.11,83,100,22.7,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,49.48,97,100,3.49,light rain
22,Fortuna,US,40.5982,-124.1573,52.66,90,90,4.61,overcast clouds
23,Dambulla,LK,7.86,80.6517,76.59,85,66,11.16,broken clouds
24,Ormond Beach,US,29.2858,-81.0559,91.99,49,40,11.5,scattered clouds
25,Yellowknife,CA,62.456,-114.3525,52.32,52,37,1.99,scattered clouds
26,Bathsheba,BB,13.2167,-59.5167,86.61,51,20,16.69,few clouds
27,Prado,BR,-17.3411,-39.2208,80.78,68,93,9.78,overcast clouds
28,Castro,BR,-24.7911,-50.0119,74.88,58,21,13.51,few clouds
29,Ostrovnoy,RU,68.0531,39.5131,35.73,78,96,17.98,overcast clouds
30,Sakaraha,MG,-22.9,44.5333,63.27,72,20,3.56,few clouds
31,Hilo,US,19.7297,-155.09,79.29,82,75,5.75,light rain
32,Moba,CN,33.2288,105.0179,56.48,84,96,4.0,overcast clouds
33,Port Elizabeth,ZA,-33.918,25.5701,56.1,94,75,11.5,broken clouds
34,Punta Arenas,CL,-53.15,-70.9167,37.51,52,75,20.74,broken clouds
35,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,0.0,broken clouds
36,Pevek,RU,69.7008,170.3133,40.6,63,3,9.69,clear sky
37,Torbay,CA,47.6666,-52.7314,57.88,64,45,9.84,scattered clouds
38,Hermanus,ZA,-34.4187,19.2345,59.9,83,23,5.39,light rain
39,Mindelo,CV,16.8901,-24.9804,78.35,57,20,21.68,few clouds
40,George,ZA,-33.963,22.4617,56.46,80,70,11.1,light rain
41,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,38,5.3,scattered clouds
42,Nikolskoye,RU,59.7035,30.7861,53.49,48,2,7.45,clear sky
43,Codrington,AU,-38.2667,141.9667,40.62,92,2,7.0,clear sky
44,Maarianhamina,AX,60.0973,19.9348,55.26,38,0,16.11,clear sky
45,Chancay,PE,-11.5714,-77.2672,66.07,78,66,7.49,broken clouds
46,Barrow,US,71.2906,-156.7887,30.22,86,90,11.5,overcast clouds
47,Jamestown,US,42.097,-79.2353,49.59,82,90,5.99,overcast clouds
48,Kalemie,CD,-5.9475,29.1947,72.64,73,30,4.76,scattered clouds
49,Miri,MY,4.4148,114.0089,78.31,87,98,3.42,overcast clouds
50,Port Alfred,ZA,-33.5906,26.891,64.35,65,78,33.33,broken clouds
51,Lorengau,PG,-2.0226,147.2712,82.35,77,93,11.77,light rain
52,Tara,RU,56.8944,74.371,56.66,88,73,6.2,light rain
53,Airai,TL,-8.9266,125.4092,56.98,93,87,2.91,overcast clouds
54,Castrillon,ES,43.3979,-6.7922,68.22,69,89,6.2,overcast clouds
55,Ahipara,NZ,-35.1667,173.1667,54.72,78,56,12.97,broken clouds
56,General Pico,AR,-35.6566,-63.7568,55.47,41,11,7.58,few clouds
57,Clyde River,CA,70.4692,-68.5914,32.54,80,78,3.36,broken clouds
58,Suzun,RU,53.7841,82.3116,50.29,63,15,4.5,few clouds
59,Iqaluit,CA,63.7506,-68.5145,36.05,58,32,18.43,scattered clouds
60,Yenagoa,NG,4.9247,6.2642,81.46,85,79,4.32,light rain
61,Cartagena,CO,10.3997,-75.5144,87.42,74,40,12.66,scattered clouds
62,Kavieng,PG,-2.5744,150.7967,81.86,81,90,11.43,light rain
63,Isangel,VU,-19.55,169.2667,70.34,68,77,2.84,broken clouds
64,Mweka,CD,-4.85,21.5667,80.8,51,83,0.81,broken clouds
65,Santa Clara,CU,22.4,-79.9667,89.26,48,75,5.17,broken clouds
66,Butaritari,KI,3.0707,172.7902,82.33,81,100,15.86,light rain
67,Kawalu,ID,-7.3817,108.2082,72.54,96,98,1.54,overcast clouds
68,Kurduvadi,IN,18.0833,75.4333,79.09,68,100,12.55,overcast clouds
69,Heihe,CN,50.2441,127.4902,45.18,94,25,5.75,light rain
70,Awbari,LY,26.5921,12.7805,105.13,7,2,9.06,clear sky
71,Hasaki,JP,35.7333,140.8333,66.6,83,42,1.19,scattered clouds
72,Port Hedland,AU,-20.3167,118.5667,69.85,83,100,3.44,overcast clouds
73,Bluff,NZ,-46.6,168.3333,49.8,87,100,19.75,overcast clouds
74,Ambon,ID,-3.6954,128.1814,80.24,81,99,8.93,overcast clouds
